"Silt loam"||"80858200"|"82284169"
"Sandy loam"||"80923635"|"82350970"
"Sandy loam"||"80857397"|"82283364"
"Loam"||"80861473"|"82287453"
"Loamy sand"||"80855963"|"82281923"
"Silty clay"||"80857543"|"82283511"
"Silt loam"||"80855375"|"82281335"
"Very fine sand"||"80922833"|"82350162"
"Very fine sandy loam"||"80861119"|"82287097"
"Silt loam"||"80855305"|"82281265"
"Silt loam"||"80859721"|"82285695"
"Very fine sandy loam"||"80860280"|"82286256"
"Silty clay loam"||"80861640"|"82287620"
"Fine sandy loam"||"80856814"|"82282777"
"Silt loam"||"80856608"|"82282570"
|"Muck"|"80855793"|"82281753"
"Sandy loam"||"80857689"|"82283657"
|"Unweathered bedrock"|"80858128"|"82284097"
"Fine sandy loam"||"80855594"|"82281554"
"Loamy fine sand"||"80860681"|"82286657"
"Silt loam"||"80860269"|"82286245"
"Sandy loam"||"80855743"|"82281703"
"Fine sandy loam"||"80857083"|"82283047"
"Sandy loam"||"80856595"|"82282557"
"Very fine sandy loam"||"80860143"|"82286118"
"Sandy loam"||"80861692"|"82287672"
"Fine sandy loam"||"80922634"|"82349957"
"Silt loam"||"80860097"|"82286072"
"Sandy loam"||"80859331"|"82285304"
"Very fine sandy loam"||"80859867"|"82285842"
"Loamy sand"||"80860840"|"82286817"
"Fine sandy loam"||"80858919"|"82284888"
"Silt loam"||"80858127"|"82284096"
"Loam"||"80857057"|"82283021"
"Sandy loam"||"80856876"|"82282839"
"Silt loam"||"80859478"|"82285452"
"Loam"||"80924264"|"82351599"
|"Unweathered bedrock"|"80861744"|"82287724"
"Silt loam"||"80861241"|"82287220"
"Coarse sand"||"80855062"|"82281021"
"Sand"||"80856181"|"82282142"
"Silt loam"||"80855379"|"82281339"
"Fine sandy loam"||"80857981"|"82283950"
"Silt loam"||"80855135"|"82281094"
"Silt loam"||"80855500"|"82281460"
"Loamy sand"||"80855986"|"82281946"
"Coarse sand"||"80860995"|"82286972"
"Silt loam"||"80860110"|"82286085"
"Loamy sand"||"80922663"|"82349988"
